발전사,대상발전소,관리소,공급년월,발전용량MW
남동발전,분당복합화력,분당,1992-04,900.0
중부발전,인천복합화력(#1~2),청라,2025-01,1013.0
중부발전,인천복합화력(#3),원창,2025-01,450.0
중부발전,보령복합화력,보령,1999-10,1350.0
중부발전,서울복합화력(#1~2),합정,2025-01,800.0
중부발전,세종열병합,세종,2025-06,500.0
중부발전,제주복합화력,봉개,2025-10,229.0
서부발전,서인천복합화력,청라,2025-10,1800.0
서부발전,평택화력,평택LT,1986-11,1400.0
서부발전,신평택복합,포승,2025-03,834.0
서부발전,군산복합화력,군산,2025-11,718.0
동서발전,일산복합화력,일산,1992-12,900.0
동서발전,울산복합화력(1~3호기),울산,1997-11,1200.0
동서발전,울산복합화력(4호기),울산,2025-06,950.0
남부발전,신인천복합화력,청라,2025-10,1800.0
남부발전,부산복합화력,장림,2025-12,1800.0
남부발전,영월복합화력,영월,2025-05,848.0
남부발전,안동복합화력,서안동,2025-11,400.0
남부발전,한림복합화력,한림,2025-12,105.0
남부발전,남제주복합회력,상창,2025-12,146.0
GS-POWER,부천열병합,중동,1992-11,450.0
GS-POWER,안양열병합,평촌,1992-04,470.0
GS EPS,부곡복합화력(1호기),부곡,2000-03,501.0
GS EPS,부곡복합화력(2호기),부곡,2025-01,533.0
GS EPS,부곡복합화력(3호기),부곡,2025-02,400.0
포스코인터네셔널,포스코파워복합(5~6호기),서원창,2025-07,1149.0
포스코인터네셔널,포스코파워복합(7~9호기),서원창,2025-12,1260.0
인천공항에너지,인천공항열병합,영종,1999-11,127.0
CGN율촌전력,CGN율촌(1호기),율촌,2025-04,525.0
CGN율촌전력,CGN율촌(2호기),율촌,2025-05,950.0
부산정관에너지,정관열병합,정관,2025-07,100.0
지역난방공사,화성열병합,동탄,2025-06,512.0
지역난방공사,판교열병합,판교,2025-07,146.0
지역난방공사,파주열병합,교하,2025-08,516.0
지역난방공사,광교열병합,동탄,2025-05,141.0
지역난방공사,동탄열병합,초평,2025-06,758.0
지역난방공사,양산열병합,양산,2025-12,119.0
지역난방공사,청주열병합,청주,2025-12,270.0
지역난방공사,대구열병합,중리,2025-05,270.0
인천종합에너지,인천송도발전소,송도,2025-11,187.0
수완에너지,수완에너지,비아,2025-02,118.0
평택에너지서비스,오성발전소,오성,2025-07,833.0
대륜발전,별내지구열병합,남양주,2025-11,138.0
대륜발전,양주열병합,옥정,2025-12,563.0
대구그린파워,대구혁신도시열병합,동내,2025-02,415.0
포천파워,"포천복합#1,2",포천,2025-03,1450.0
에스파워,안산복합,안산,2025-06,834.0
동두천드림파워,"동두천복합#1,2",동두천,2025-09,1716.0
나래에너지서비스,하남미사열병합,풍산,2025-03,380.0
DS파워,오산열병합,초평,2025-09,436.0
포천민자발전,포천천연가스발전(1호기),계류,2025-07,960.0
춘천에너지,춘단집단에너지,동춘천,2025-11,422.0
코스포영남파워,영남복합화력,매암,2025-02,470.0
한국토지주택공사,아산배방열병합,아산,2025-01,102.0
내포그린에너지,내포열병합,홍북,2025-01,555.0
한주,한주열병합,용암,2025-02,140.0
